gene_symbol	organism	ncbi_gene_id	ncbi_symbol	ncbi_description	ncbi_refseq_count	uniprot_accession	uniprot_id	uniprot_protein	uniprot_length	uniprot_refseq	uniprot_tier	status
GSDMD	duck				0						NONE	CONFIRMED_ABSENT
GSDMA	human	284110	GSDMA	gasdermin A	7	Q96QA5	GSDMA_HUMAN	Gasdermin-A	445	NP_835465.2;XP_006721895.1	SWISSPROT	VERIFIED_SWISSPROT
GSDMA	chicken	426132	GSDMA	gasdermin A	5	A0A8V1A342	A0A8V1A342_CHICK		545	XP_015154998.2;XP_046789334.1	TREMBL	VERIFIED_TREMBL
GSDMA	duck	101803587	GSDMA	gasdermin A	2						NONE	NCBI_ONLY_CHECK
GSDME	human	1687	GSDME	gasdermin E	6	O60443	GSDME_HUMAN	Gasdermin-E	496	NP_001120925.1;NP_001120926.1;NP_001424988.1;NP_004394.1;XP_024302438.1;XP_054213373.1	SWISSPROT	VERIFIED_SWISSPROT
GSDME	chicken	420623	DFNA5	"DFNA5, deafness associated tumor suppressor"	15						NONE	NCBI_ONLY_CHECK
GSDME	duck	101796997	GSDME	gasdermin E	7						NONE	NCBI_ONLY_CHECK
PYCARD	human	29108	PYCARD	PYD and CARD domain containing	2	Q9ULZ3	ASC_HUMAN	Apoptosis-associated speck-like protein containing a CARD	195	NP_037390.2;NP_660183.1	SWISSPROT	VERIFIED_SWISSPROT
PYCARD	chicken				0						NONE	CONFIRMED_ABSENT
PYCARD	duck				0						NONE	CONFIRMED_ABSENT
NLRP3	human	114548	NLRP3	NLR family pyrin domain containing 3	33	Q96P20	NLRP3_HUMAN	"NACHT, LRR and PYD domains-containing protein 3"	1036	NP_001073289.2;NP_001120933.2;NP_001120934.2;NP_001230062.1;NP_004886.3;NP_899632.2;XP_016855670.1;XP_016855671.1;XP_047299489.1;XP_047299490.1;XP_047299491.1;XP_047299495.1;XP_047299502.1;XP_047299513.1;XP_047299518.1;XP_047299527.1;XP_054190045.1;XP_054190046.1;XP_054190047.1;XP_054190048.1;XP_054190049.1;XP_054190050.1;XP_054190051.1;XP_054190052.1;XP_054190053.1;XP_054190055.1	SWISSPROT	VERIFIED_SWISSPROT
NLRP3	chicken	423021	NLRP3	NLR family pyrin domain containing 3	27	A0A8V0ZLM1	A0A8V0ZLM1_CHICK	"NACHT, LRR and PYD domains-containing protein 3"	925	NP_001335876.2;XP_040556736.1;XP_040556737.1	TREMBL	VERIFIED_TREMBL
NLRP3	duck	101795933	NLRP3	"NACHT, LRR and PYD domains-containing protein 12"	3	A0A3G2VSX8	A0A3G2VSX8_ANAPL	"NACHT, LRR and PYD domains-containing protein 3"	934	XP_005030014.1;XP_005030016.1	TREMBL	VERIFIED_TREMBL
CARD8	human	22900	CARD8	caspase recruitment domain family member 8	18	Q9Y2G2	CARD8_HUMAN	Caspase recruitment domain-containing protein 8	537	NP_001171829.1;NP_001171830.1;NP_001171831.1;NP_001171832.1;NP_001171833.1;NP_001338711.1;NP_001338712.1;NP_001352879.1;NP_055774.2	SWISSPROT	VERIFIED_SWISSPROT
CARD8	chicken	416998	CARD8	"caspase recruitment domain family, member 8"	4	A0A8V0X031	A0A8V0X031_CHICK	Caspase recruitment domain-containing protein 8	547	XP_415289.4	TREMBL	VERIFIED_TREMBL
CARD8	duck	110354120	LOC110354120	uncharacterized LOC110354120	4						NONE	NCBI_ONLY_CHECK
NAIP	human	4671	NAIP	NLR family apoptosis inhibitory protein	14	Q13075	BIRC1_HUMAN	Baculoviral IAP repeat-containing protein 1	1403	NP_001333799.1;NP_004527.2;NP_075043.1	SWISSPROT	VERIFIED_SWISSPROT
NAIP	chicken				0						NONE	CONFIRMED_ABSENT
NAIP	duck				0						NONE	CONFIRMED_ABSENT
NLRC4	human	58484	NLRC4	NLR family CARD domain containing 4	6	Q9NPP4	NLRC4_HUMAN	NLR family CARD domain-containing protein 4	1024	NP_001186067.1;NP_001186068.1;NP_001289433.1;NP_067032.3	SWISSPROT	VERIFIED_SWISSPROT
NLRC4	chicken				0						NONE	CONFIRMED_ABSENT
NLRC4	duck				0						NONE	CONFIRMED_ABSENT
AIM2	human	9447	AIM2	absent in melanoma 2	7	O14862	AIM2_HUMAN	Interferon-inducible protein AIM2	343	NP_004824.1;XP_047290764.1;XP_047290765.1;XP_047290767.1;XP_054195659.1;XP_054195660.1	SWISSPROT	VERIFIED_SWISSPROT
AIM2	chicken				0						NONE	CONFIRMED_ABSENT
AIM2	duck				0						NONE	CONFIRMED_ABSENT
RIPK1	human	8737	RIPK1	receptor interacting serine/threonine kinase 1	21	Q13546	RIPK1_HUMAN	Receptor-interacting serine/threonine-protein kinase 1	671	NP_001341859.1;NP_001341860.1;NP_003795.2;XP_047275403.1;XP_047275404.1;XP_054212622.1	SWISSPROT	VERIFIED_SWISSPROT
RIPK1	chicken	378921	RIPK1	receptor interacting serine/threonine kinase 1	7	Q5F3U2	Q5F3U2_CHICK		683	NP_001384153.1;NP_001384154.1;XP_046766186.1;XP_046773408.1	TREMBL	VERIFIED_TREMBL
RIPK1	duck	101801990	RIPK1	receptor interacting serine/threonine kinase 1	1						NONE	NCBI_ONLY_CHECK
RIPK3	human	11035	RIPK3	receptor interacting serine/threonine kinase 3	1	Q9Y572	RIPK3_HUMAN	Receptor-interacting serine/threonine-protein kinase 3	518	NP_006862.2	SWISSPROT	VERIFIED_SWISSPROT
RIPK3	chicken	415708	RIPK3	receptor-interacting serine-threonine kinase 3	6	A0A8V1A792	A0A8V1A792_CHICK		466	XP_004944206.1;XP_040536973.1	TREMBL	VERIFIED_TREMBL
RIPK3	duck				0						NONE	CONFIRMED_ABSENT
ZBP1	human	10642	IGF2BP1	insulin like growth factor 2 mRNA binding protein 1	21	Q9H171	ZBP1_HUMAN	Z-DNA-binding protein 1	429	NP_001153889.1;NP_001153890.1;NP_001153891.1;NP_001310895.1;NP_110403.2	SWISSPROT	MISMATCH_ALIAS
ZBP1	human	81030	ZBP1	Z-DNA binding protein 1	15	Q9H171	ZBP1_HUMAN	Z-DNA-binding protein 1	429	NP_001153889.1;NP_001153890.1;NP_001153891.1;NP_001310895.1;NP_110403.2	SWISSPROT	VERIFIED_SWISSPROT
ZBP1	chicken	395953	IGF2BP1	insulin like growth factor 2 mRNA binding protein 1	1	O42254	IF2B1_CHICK	Insulin-like growth factor 2 mRNA-binding protein 1	576	NP_990402.1	SWISSPROT	MISMATCH_ALIAS
ZBP1	duck				0						NONE	CONFIRMED_ABSENT
MLKL	human	197259	MLKL	mixed lineage kinase domain like pseudokinase	20	Q8NB16	MLKL_HUMAN	Mixed lineage kinase domain-like protein	471	NP_001135969.1;NP_689862.1;XP_005255891.1;XP_054235719.1	SWISSPROT	VERIFIED_SWISSPROT
MLKL	chicken	415686	MLKL	mixed lineage kinase domain like pseudokinase	2	E1C6F2	E1C6F2_CHICK		486	XP_015134716.1	TREMBL	VERIFIED_TREMBL
MLKL	duck	101790564	MLKL	mixed lineage kinase domain like pseudokinase	2						NONE	NCBI_ONLY_CHECK
TICAM1	human	148022	TICAM1	TIR domain containing adaptor molecule 1	4	Q8IUC6	TCAM1_HUMAN	TIR domain-containing adapter molecule 1	712	NP_891549.1	SWISSPROT	VERIFIED_SWISSPROT
TICAM1	chicken	100008585	TICAM1	toll like receptor adaptor molecule 1	1	A0A8V1A9A0	A0A8V1A9A0_CHICK	TIR domain-containing adapter molecule 1	716		TREMBL	VERIFIED_TREMBL
TICAM1	duck	101791305	TICAM1	TIR domain containing adaptor molecule 1	4						NONE	NCBI_ONLY_CHECK
TICAM2	human	353376	TICAM2	TIR domain containing adaptor molecule 2	1	Q86XR7	TCAM2_HUMAN	TIR domain-containing adapter molecule 2	235	NP_001157940.1;NP_001157941.1;NP_067681.1	SWISSPROT	VERIFIED_SWISSPROT
TICAM2	chicken				0						NONE	CONFIRMED_ABSENT
TICAM2	duck	101793084	TICAM2	toll like receptor adaptor molecule 2	1						NONE	NCBI_ONLY_CHECK
MYD88	human	4615	MYD88	MYD88 innate immune signal transduction adaptor	8	Q99836	MYD88_HUMAN	Myeloid differentiation primary response protein MyD88	296	NP_001166037.2;NP_001166038.2;NP_001166039.2;NP_001166040.2;NP_002459.3	SWISSPROT	VERIFIED_SWISSPROT
MYD88	chicken	420420	MYD88	MYD88 innate immune signal transduction adaptor	3	A5HNF6	MYD88_CHICK	Myeloid differentiation primary response protein MyD88	299	NP_001026133.3	SWISSPROT	VERIFIED_SWISSPROT
MYD88	duck	101797621	MYD88	MYD88 innate immune signal transduction adaptor	1	A0A8B9QW92	A0A8B9QW92_ANAPL	Myeloid differentiation primary response protein MyD88	323		TREMBL	VERIFIED_TREMBL
TRADD	human	8717	TRADD	TNFRSF1A associated via death domain	2	Q15628	TRADD_HUMAN	Tumor necrosis factor receptor type 1-associated DEATH domain protein	312	NP_001310481.1;NP_003780.1	SWISSPROT	VERIFIED_SWISSPROT
TRADD	chicken	415700	TRADD	TNFRSF1A associated via death domain	4	A0A8V0ZU42	A0A8V0ZU42_CHICK	Tumor necrosis factor receptor type 1-associated DEATH domain protein	431		TREMBL	VERIFIED_TREMBL
TRADD	duck	101799807	TRADD	TNFRSF1A associated via death domain	2						NONE	NCBI_ONLY_CHECK
FADD	human	8772	FADD	Fas associated via death domain	1	Q13158	FADD_HUMAN	FAS-associated death domain protein	208	NP_003815.1	SWISSPROT	VERIFIED_SWISSPROT
FADD	chicken	423146	FADD	Fas associated via death domain	2	F1NKQ7	F1NKQ7_CHICK	FAS-associated death domain protein	195	XP_040529199.1;XP_421073.2	TREMBL	VERIFIED_TREMBL
FADD	duck	101801863	FADD	Fas associated via death domain	1						NONE	NCBI_ONLY_CHECK
DDX58	human	23586	RIGI	RNA sensor RIG-I	7	O95786	RIGI_HUMAN	Antiviral innate immune response receptor RIG-I	925	NP_055129.2	SWISSPROT	MISMATCH_ALIAS
DDX58	chicken				0						NONE	CONFIRMED_ABSENT
DDX58	duck	101789567	RIGI	RNA sensor RIG-I	1						NONE	NCBI_ONLY_CHECK
IFIH1	human	64135	IFIH1	interferon induced with helicase C domain 1	3	Q9BYX4	IFIH1_HUMAN	Interferon-induced helicase C domain-containing protein 1	1025	NP_071451.2	SWISSPROT	VERIFIED_SWISSPROT
IFIH1	chicken	424185	IFIH1	interferon induced with helicase C domain 1	1	A0A1D5P5I0	A0A1D5P5I0_CHICK	RNA helicase	1102		TREMBL	VERIFIED_TREMBL
IFIH1	duck	101800076	IFIH1	interferon induced with helicase C domain 1	1	A0A8B9TVL5	A0A8B9TVL5_ANAPL	RNA helicase	996		TREMBL	VERIFIED_TREMBL
STING1	human	340061	STING1	stimulator of interferon response cGAMP interactor 1	3	Q86WV6	STING_HUMAN	Stimulator of interferon genes protein	379	NP_938023.1	SWISSPROT	VERIFIED_SWISSPROT
STING1	chicken	768990	TMEM173	transmembrane protein 173	4	E1C7U0	STING_CHICK	Stimulator of interferon genes protein	379	XP_001232171.3	SWISSPROT	MISMATCH_ALIAS
STING1	duck	101799156	STING1	stimulator of interferon response cGAMP interactor 1	2						NONE	NCBI_ONLY_CHECK
NINJ1	human	4814	NINJ1	ninjurin 1	3	Q92982	NINJ1_HUMAN	Ninjurin-1	152	NP_004139.2	SWISSPROT	VERIFIED_SWISSPROT
NINJ1	chicken	415986	NINJ1	ninjurin 1	1	R4GJU8	R4GJU8_CHICK		150	NP_001264806.1	TREMBL	VERIFIED_TREMBL
NINJ1	duck	101790285	NINJ1	ninjurin 1	1						NONE	NCBI_ONLY_CHECK
